Unnamed: 0,message,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
0,?,,,,,,
1,fox fail,1.0,,,,,
2,Tell baby clown boy to get out,1.0,,,,,
3,awe are you poor losers upset you lost the election?,1.0,,,,,
4,Biden won bigly,,,,,,
5,tell it to the Supreme Court,,,,,,
6,Trump2020,,,,,,
7,😂😂 Trump lost,,,,,,
8,Trump2020,,,,,,
9,Supreme court will have the final say!,,,,,,
10,"FYI the electors haven't been appointed yet, nor have they voted.",,,,,,
11,sUpReMe cOuRt,1.0,,,,,
12,Trump will be President media doesn't call elections.,,,,,,
13,4 eyes is gonna make a good prison b****,1.0,,,,,1.0
14,Trump 2020 get over it,,,,,,
15,Trump 2020,,,,,,
16,RAID THEIR SERVERS!,,,,1.0,,
17,the guy doing sign language is more entertaining,,,,,,
18,trump 2020,,,,,,
19,OBAMA 2020 MAGA!!,,,,,,
20,of course Trump lost. He is a lunatic. Most Americans can see that.,1.0,,,,,
21,Biden and his supporters will always have to live with the shame of cheating America!,1.0,,,,,
22,MAGA,,,,,,
23,TRUMP WINS BY A LANDSLIDE!,,,,,,
24,wow you all really don't understand how our election system works and its sad,,,,,,
25,Biden 2020-2028 Kamala 2028-2036,,,,,,
26,media does not call an election. fake news media.,,,,,,
27,"We just see all the RATS coming out, that's the goal",1.0,,,,,
28,Corrupted politician,1.0,,,,,
29,Trump is the president and will be for next 4 years!,,,,,,
30,"RAID THE VOTING MACHINES BEFORE THEY ""UPDATE"" THE SOFTWARE EARASING THE RIGGED VOTING SOFTWARE!",,,,1.0,,
31,State calls the election!! In they did,,,,,,
32,Trump WON Georgia BIG!!!! Legally!!!! ...... where ya at Hunter????,,,,,,
33,Trump or Bust!,,,,,,
34,Trump will be president for 12 more years,,,,,,
35,Only about half believe the President Trump lost DNC means does not coun,,,,,,
36,Kamala was picked based on gender and race...not on merit,,1.0,,,,
37,"The will of the American people will be done, one way or another",,,,,,
38,Amalak...... evil Kamala!! Watch Out America!!,1.0,,,1.0,,
39,The audio is terrible on this!!,,,,,,
40,trump 2020-2036,,,,,,
41,"BRAZIL GO TRUMP, GIANT",,,,,,
42,"Liar, Liar pants on fire.",,,,,,
43,CCPBiden and CCP Harris will never be President!,,1.0,,1.0,,
44,"Disruption, Confusion, Division...part of the Trump play book that he's been working on for four years.",,,,1.0,,
45,Are third terms possible?,,,,,,
46,Trump 2020,,,,,,
47,"Trump won , julius from paris",,,,,,
48,Everyone watch Kreb’s interview on 60 minutes!!,,,,,,
49,Trump trying to steal election,,,,1.0,,
50,BRAZIL ROCKS WWG1WGA,,,,,,
51,Turn on your mic,,,,,,
52,Biden cheated,,,,1.0,,
53,Cheaters BUSTED !!!!!!!!!!!!!!!!!,1.0,,,1.0,,
54,Trump the new host of the biggest loser,1.0,,1.0,,,
55,youtube is doing this on purpose...making it hard to hear...,,,,,,
56,electoral college certifies election results NOT the MEDIA💩,,,,,,
57,LOVE YOU BIDEN,,,,,,
58,Why is santa bald????,1.0,,,,,
59,imagine having someone beside you doing that the whole time?,,,,,,
60,eew,,,,,,
61,Entire election was rigged,,,,1.0,,
62,CULT45 SQUARELY BEHIND THE 🎱 ON THE U.S. ELECTIONS......HES DONE,,,,,,
63,Busted!,,,,,,
64,🤟BYE👋DON👍 2020..ish,,,,,,
