,Topic,Direct Harassment,Direct Harassment_p-val,Hate Speech,Hate Speech_p-val,Others,Others_p-val,Sexual Harassment,Sexual Harassment_p-val,Toxic,Toxic_p-val,Trolling,Trolling_p-val
0,0,0.019779259955235728,0.00032184498503699837,-0.014919594207994977,0.006664505785329097,0.007301835220388535,0.18424492757231756,0.007154929585722377,0.19323001091785694,0.014129901345304242,0.010183443435133555,-0.0027636084498150327,0.6152870554994786
1,1,0.0019057884108266672,0.7289274438884356,-0.01962826728038137,0.0003575451032635828,0.002837635268551482,0.6058528656027714,-0.007584533256106223,0.16783116815175128,0.004918830145627451,0.37107841808991326,-0.0044761025770958685,0.4156751063800723
2,10,0.005659017595754437,0.30345377653607614,0.0019467185377999776,0.7233422868530002,0.0011545366214900014,0.8337119445668764,-0.0008665420288307167,0.8747927019535557,0.0019063977354889532,0.7288441915059497,0.01058588013031355,0.054227960973539054
3,11,0.022666270614088074,3.752569701839025e-05,0.14482009431884935,1.929702381069025e-154,0.0031241537991613375,0.5699645894626499,0.016396345128776253,0.002866115279148425,0.03803348560284623,4.561712253695247e-12,0.02218944253783059,5.4493420692336295e-05
4,12,0.022192214141597316,5.4376513924588266e-05,-0.013821910441804164,0.011953184715302625,-0.003590301692033867,0.5138403383297551,5.682342212469965e-05,0.9917556991230813,0.010354645406173786,0.05970585201940933,0.012781255470003552,0.0201113742078826
5,13,0.02960977345411254,7.225153343810298e-08,-0.008593701187327732,0.11811744253819965,-0.002315780049064533,0.6736772732030388,0.016308657390377387,0.0030190114522882063,0.0166545620441102,0.0024560168492752613,0.009990143343041994,0.06926725678123638
6,14,0.009987267862970477,0.0693474121119223,-0.013163250543792696,0.01667779214157968,0.0010688765355580348,0.8458887900933812,0.0042920368936193104,0.4351107403928639,0.00513208555427062,0.3506988210469165,0.03727949176984152,1.1907199553072536e-11
7,15,0.035560065103594024,9.907375936640503e-11,-0.003378712874136408,0.5389553039037385,0.009601271173198983,0.08081890207042217,0.006261741411473579,0.2548456098687157,0.023953909611130836,1.3218826467968813e-05,0.008583351589498717,0.1185609729065224
8,16,0.0066191558420267875,0.2287235377805024,-0.015683312116967548,0.004343694548015359,0.0003258796304560502,0.9527461405503409,0.0025916516296086017,0.6374466405457594,0.003988349936407606,0.4682972806833673,0.02313849948388412,2.5751148379758704e-05
9,17,0.005111450292015424,0.35263922862014496,-0.008683120896806154,0.11433937748447326,0.00042781759136462864,0.9379909688899635,-0.0006476930384387944,0.9062437306189863,0.02799412631257558,3.552331287991358e-07,0.005365481370727523,0.32922470496532286
10,18,0.008802143588818527,0.10945887476096601,-0.010314277062168207,0.060707713398617066,0.0031350348506909167,0.5686218820071129,-0.0033702532815177897,0.5399720764183156,0.006503794450618807,0.23693787058599877,-0.0025983428164786716,0.6365781059275205
11,19,1.6267410784273332e-05,0.997639782772574,-0.013114656554846357,0.017083882305149845,-0.003356090767120611,0.5416764384704612,-0.005412188550882851,0.3250318330045051,0.007046764715185295,0.20004848370452205,0.0027005033276581857,0.6233799623462833
12,2,0.0019855624011971278,0.7180553993511641,-0.016720058660845565,0.0023609093342433457,0.008907580912968468,0.10527435613069079,-0.004615237769451264,0.4013299485517835,-0.0024860524807395995,0.6512190123321022,-0.002084238482683409,0.7046860582394329
13,20,0.029987337517846182,4.919855987857965e-08,-0.013832554346080389,0.011887743975791398,-0.006267907507855394,0.25437804790148083,0.008583309455967423,0.11856278119751146,0.021934304238915424,6.633652741875174e-05,0.006934412559931376,0.2073152024153771
14,21,0.009906899802819197,0.07161870201334682,-0.015323028428011273,0.005327516591424123,-0.006284526818604554,0.2531208141512794,0.018980963918214036,0.0005567639512883968,0.008517451930797547,0.12141579133961292,0.0032853842172452506,0.5502254475995338
15,22,0.013074338124882777,0.01742737415132787,-0.005101826712047394,0.35354648657102994,-0.005039902586635208,0.3594195931539633,-0.008127582049979657,0.1394185134746764,0.008422899884785298,0.12560541303689565,0.003688571150215385,0.5023866189450963
16,23,0.021059816444119677,0.00012815205371460048,-0.013990603662757131,0.010952729826779304,0.005544304671822625,0.31336085756556803,0.011375024288263712,0.038590806613887856,0.0027971534779864427,0.6110039703918482,0.002281603410459016,0.6782211231590541
17,24,0.0029780786961106126,0.5881348279112608,-0.015921524910975794,0.003786939138868553,0.0026286022273848447,0.6326565977902044,0.01742041142418219,0.0015349035671777362,0.0029634589289897705,0.5899680185823937,0.008566893575847605,0.11926896658280173
