,message,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic,cleaned_message,POS,tagCounts,preprocessed_1,POS-SEQ,None,words,uppercase_word_count,punctuation_count,not_in_vocab_words
0,Woooooo Biden won. Finally!,0.0,0.0,0.0,0.0,0.0,0.0,Woooooo Biden won. Finally!,"[('Woooooo', 'PROPN'), ('Biden', 'PROPN'), ('win', 'VERB'), ('.', 'PUNCT'), ('finally', 'ADV'), ('!', 'PUNCT')]","{'PROPN': 2, 'VERB': 1, 'PUNCT': 2, 'ADV': 1}",woooooo biden win finally,PROPN PROPN VERB PUNCT ADV PUNCT,1.0,woooooo biden win finally,0,2,woooooo
1,lol keep wishing,0.0,0.0,0.0,0.0,0.0,0.0,lol keep wishing,"[('lol', 'NOUN'), ('keep', 'VERB'), ('wish', 'VERB')]","{'NOUN': 1, 'VERB': 2}",lol keep wish,NOUN VERB VERB,1.0,lol keep wish,0,0,
2,trump 4 the people,0.0,0.0,0.0,0.0,0.0,0.0,trump 4 the people,"[('trump', 'VERB'), ('4', 'NUM'), ('the', 'DET'), ('people', 'NOUN')]","{'VERB': 1, 'NUM': 1, 'DET': 1, 'NOUN': 1}",trump 4 people,VERB NUM DET NOUN,1.0,trump 4 people,0,0,
3,USA!!,0.0,0.0,0.0,0.0,0.0,0.0,USA!!,"[('USA', 'PROPN'), ('!', 'PUNCT'), ('!', 'PUNCT')]","{'PROPN': 1, 'PUNCT': 2}",usa,PROPN PUNCT PUNCT,1.0,usa,1,2,
4,PUMP ET UP,0.0,0.0,0.0,0.0,0.0,0.0,PUMP ET UP,"[('PUMP', 'PROPN'), ('ET', 'PROPN'), ('up', 'ADV')]","{'PROPN': 2, 'ADV': 1}",pump et up,PROPN PROPN ADV,1.0,pump et up,3,0,
5,love our country🌹,0.0,0.0,0.0,0.0,0.0,0.0,love our country🌹,"[('love', 'VERB'), ('our', 'PRON'), ('country', 'NOUN'), ('🌹', 'EMOJI')]","{'VERB': 1, 'PRON': 1, 'NOUN': 2}",love country 🌹,VERB PRON NOUN EMOJI,1.0,love country,0,0,
6,anywhere is,0.0,0.0,0.0,0.0,0.0,0.0,anywhere is,"[('anywhere', 'ADV'), ('be', 'AUX')]","{'ADV': 1, 'AUX': 1}",anywhere,ADV AUX,1.0,anywhere be,0,0,
7,Trump 2Q2Q,0.0,0.0,0.0,0.0,0.0,0.0,Trump 2Q2Q,"[('Trump', 'PROPN'), ('2Q2Q', 'PROPN')]",{'PROPN': 2},trump 2q2q,PROPN PROPN,1.0,trump 2q2q,2,0,2q2q
8,Continue on President Trump,0.0,0.0,0.0,0.0,0.0,0.0,Continue on President Trump,"[('continue', 'VERB'), ('on', 'ADP'), ('President', 'PROPN'), ('Trump', 'PROPN')]","{'VERB': 1, 'ADP': 1, 'PROPN': 2}",continue president trump,VERB ADP PROPN PROPN,1.0,continue on president trump,0,0,
9,"I vote for you, you vote for me We're a very distrusting family With a paper ballot and no counting machines Across the table checking from me to you Won't you say you that ballot is true?",0.0,0.0,0.0,1.0,0.0,0.0,"I vote for you, you vote for me We are a very distrusting family With a paper ballot and no counting machines Across the table checking from me to you Will not you say you that ballot is true?","[('I', 'PRON'), ('vote', 'VERB'), ('for', 'ADP'), ('you', 'PRON'), (',', 'PUNCT'), ('you', 'PRON'), ('vote', 'VERB'), ('for', 'ADP'), ('I', 'PRON'), ('we', 'PRON'), ('be', 'AUX'), ('a', 'DET'), ('very', 'ADV'), ('distrust', 'VERB'), ('family', 'NOUN'), ('with', 'ADP'), ('a', 'DET'), ('paper', 'NOUN'), ('ballot', 'NOUN'), ('and', 'CCONJ'), ('no', 'DET'), ('count', 'VERB'), ('machine', 'NOUN'), ('across', 'ADP'), ('the', 'DET'), ('table', 'NOUN'), ('check', 'VERB'), ('from', 'ADP'), ('I', 'PRON'), ('to', 'ADP'), ('you', 'PRON'), ('will', 'AUX'), ('not', 'PART'), ('you', 'PRON'), ('say', 'VERB'), ('you', 'PRON'), ('that', 'SCONJ'), ('ballot', 'NOUN'), ('be', 'AUX'), ('true', 'ADJ'), ('?', 'PUNCT')]","{'PRON': 9, 'VERB': 6, 'ADP': 6, 'PUNCT': 2, 'AUX': 3, 'DET': 4, 'ADV': 1, 'NOUN': 6, 'CCONJ': 1, 'PART': 1, 'SCONJ': 1, 'ADJ': 1}",vote vote very distrust family paper ballot count machine table check not say ballot true,PRON VERB ADP PRON PUNCT PRON VERB ADP PRON PRON AUX DET ADV VERB NOUN ADP DET NOUN NOUN CCONJ DET VERB NOUN ADP DET NOUN VERB ADP PRON ADP PRON AUX PART PRON VERB PRON SCONJ NOUN AUX ADJ PUNCT,0.0,vote for vote for be very distrust family with paper ballot and count machine across table check from to will not say ballot be true,1,2,
10,can't wait for trump to win,0.0,0.0,0.0,0.0,0.0,0.0,cannot wait for trump to win,"[('can', 'AUX'), ('not', 'PART'), ('wait', 'VERB'), ('for', 'ADP'), ('trump', 'NOUN'), ('to', 'PART'), ('win', 'VERB')]","{'AUX': 1, 'PART': 2, 'VERB': 2, 'ADP': 1, 'NOUN': 1}",not wait trump to win,AUX PART VERB ADP NOUN PART VERB,1.0,can not wait for trump to win,0,0,
