Unnamed: 0,message,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
0,Woooooo Biden won. Finally!,,,,,,
1,lol keep wishing,,,,,,
2,trump 4 the people,,,,,,
3,USA!!,,,,,,
4,PUMP ET UP,,,,,,
5,love our country🌹,,,,,,
6,anywhere is,,,,,,
7,Trump 2Q2Q,,,,,,
8,Continue on President Trump,,,,,,
9,"I vote for you, you vote for me We're a very distrusting family With a paper ballot and no counting machines Across the table checking from me to you Won't you say you that ballot is true?",,,,1.0,,
10,can't wait for trump to win,,,,,,
11,What happen to the smooth trump transition 😆😆😆”bad things happen in Philadelphia”,,,,,,
12,4 more years!!!!,,,,,,
13,world needs justice,,,,,,
14,STOP THE STEAL!!!!,,,,,,
15,Go USA!!!,,,,,,
16,Y’all LOST 🐝,,,,,,
17,i cant stand this corrupt pompeo,1.0,,,,,
18,Philadelphia is full of riggers,1.0,,,1.0,,
19,go go,,,,,,
20,SATAN ❤ TRUMP,1.0,,,,,1.0
21,Pompeo's the Foreign Minister of Kuwait now?,,,,,,
22,Thanks god BIDEN is in! Time to get America back on track. End the embarrassment that trump was,,,,,,
23,watching from Philippines,,,,,,
24,"google ""rich man's trick"" documentary",,,,,,
25,This is great. Trump 2020,,,,,,
26,Biden cheated,1.0,,,1.0,,
27,Biden is your president,,,,,,
28,You are disgraceful what you did Ethiopian people,,1.0,,,,
29,Biden voters hate america,,1.0,,1.0,,
30,Bye bye Trump administration lol.,,,,,,
31,Trump = 1 term embarrassment. The nightmare is finally over. Cue YMCA & inflatable tube man dance,1.0,,,,,
32,love biden,,,,,,
33,Pompe crouppt,1.0,,,,,
34,Trump 2020,,,,,,
35,Who built the cages jo? 😂,,,,,,
36,When you can back a pr,,,,,,
37,These people don’t care about your health. It’s the NWO crime syndicate.,,,,,,
38,Biden will undue this relief. Sad for people of Kuwait,,,,,,
39,Excellency addressed like a true imperialist,1.0,,,1.0,,
40,trump2024,,,,,,
41,TRUMP 2020,,,,,,
42,Obama built the cages.,,,,,,
43,@Daisy Chain Family Hub that's still my favorite line too! lol,,,,,,
44,biden is a joke,1.0,,,,,
45,FOX NEWS OR FAKE NEWS. PLEASE NOT SUPPORT THE DEMORALISED PARTY !,1.0,,,1.0,,
46,Stop killing United States citizens In America The police stop killing United States citizens,,,,,,
47,ehhhhhh,,,,,,
48,calm down biden wont get to the white house four more years for Trump,,,,,,
49,Great Barrington Declaration - doctors vs lockdownistas,1.0,,,1.0,,
50,SATAN ❤ KUWAIT,1.0,,,,,1.0
51,The nightmare is just getting started. Brace yourselves ostrich snowflakes!,,,,,,1.0
52,This just shows Trump will stay our President 2020-2024,,,,,,
53,Biden will go back to war you people allowed this it sickening,1.0,1.0,,,,
54,"I vote for you, you vote for me We're a very distrusting family With a paper ballot and no counting machines Across the table checking from me to you Won't you say that ballot is true?",,,,1.0,,
55,I love America. Thank you so much for voting the clown out. Biden 2020 ❤️❤️❤️🤙,,,,,,
56,Bye Drump pawn boy,,,,,,
57,its 7.5 million for bidens transition team right?,,,,,,
58,.....gn,,,,,,
59,how can you live Biden Ben?? you must look into him . he's signed your country over to communist China. he is a puppet. you should be scared what is happening to your country.,,,,1.0,,
60,Is this another peace deal? Or what?,,,,,,
61,"47 years of nothing , joe is nothing more than nothing!",,,,,,
62,People like you will pay,,,,,,
63,"Yeah, whatever, Pompeo, we know who pays your tab",,,,,,
64,Every country executes atrocities against their people in one way or another.,,,,,,
65,:yt::yt::yt::yt::yt::yt::yt::yt::yt:,,,,,,
66,america starting another war ?,,,,,,
67,"When other countries see how much money can be made by being a democratic republic, they won't want to be anything else! 😀 😀 😀",,,,,,
68,"you want Joe to officially usher in the New World Order? Communist leader Xi would be pleased. You will be tracked everywhere you go, digital currency so you can have no cash to carry and hold,",,,,1.0,,
69,Jim you are funny,,,,,,
70,biden is not in at least not yet look at the actual electoral college numbers. biden 35 trump 60 something,,,,,,
71,"Revised Punkpeo ""There will now be a smooth transition to a 1st Biden administration."" 😂😂😂😂🤣🤣👍",,,,,,
72,Andrew Cuomo is a dictator,1.0,,,1.0,,
73,He's nervous,,,,,,
74,Great Barrington Declaration - real doctors vs lockdownistas,1.0,,,1.0,,
75,who else is looking forward to the Great Reset?,,,,,,
76,RIGGED ELECTION!!!!!!,,,,,,
77,WWE goes to Saudi!,1.0,,,,,
78,"Losers still mad Trump lost, they can't take Ls its sad :c",,,,,,
79,uneducated people would vote for biden. disgrace to Usa,1.0,,,1.0,,1.0
80,ehhh ehhh ehhhhhhhhhh,,,,,,
81,All we know is that we don't know the truth,,,,,,
82,Raise your hand if you remember the Kuwaiti ambassadors daughter lying to the American public about Iraqis throwing babies out of incubator?,,,,,,
